ccode,name,num_code,year,age,sex,population
GHA,Ghana,288,2015,15,female,184146.56
GHA,Ghana,288,2015,15,male,193092.96
GHA,Ghana,288,2015,16,female,269206.88
GHA,Ghana,288,2015,16,male,282046.4
GHA,Ghana,288,2015,17,female,323915.68
GHA,Ghana,288,2015,17,male,339041.6
GHA,Ghana,288,2015,18,female,328555.68
GHA,Ghana,288,2015,18,male,343388
GHA,Ghana,288,2015,19,female,300675.2
GHA,Ghana,288,2015,19,male,313431.04
GHA,Ghana,288,2015,20,female,282855.52
GHA,Ghana,288,2015,20,male,295753.44
GHA,Ghana,288,2015,21,female,259360.96
GHA,Ghana,288,2015,21,male,271028.48
GHA,Ghana,288,2015,22,female,241184.96
GHA,Ghana,288,2015,22,male,251152.48
GHA,Ghana,288,2015,23,female,235950.56
GHA,Ghana,288,2015,23,male,243778.08
GHA,Ghana,288,2015,24,female,238548
GHA,Ghana,288,2015,24,male,243887.52
GHA,Ghana,288,2015,25,female,236141.12
GHA,Ghana,288,2015,25,male,238831.2
GHA,Ghana,288,2015,26,female,231173.12
GHA,Ghana,288,2015,26,male,231164
GHA,Ghana,288,2015,27,female,226607.52
GHA,Ghana,288,2015,27,male,223618.4
GHA,Ghana,288,2015,28,female,222601.12
GHA,Ghana,288,2015,28,male,216304
GHA,Ghana,288,2015,29,female,218877.12
GHA,Ghana,288,2015,29,male,209182.4
GHA,Ghana,288,2015,30,female,215077.44
GHA,Ghana,288,2015,30,male,202102.56
GHA,Ghana,288,2015,31,female,211364.32
GHA,Ghana,288,2015,31,male,195091.04
GHA,Ghana,288,2015,32,female,206826.72
GHA,Ghana,288,2015,32,male,188317.44
GHA,Ghana,288,2015,33,female,201003.52
GHA,Ghana,288,2015,33,male,181850.24
GHA,Ghana,288,2015,34,female,194328
GHA,Ghana,288,2015,34,male,175638.72
GHA,Ghana,288,2015,35,female,187743.04
GHA,Ghana,288,2015,35,male,169560.48
GHA,Ghana,288,2016,15,female,187003.712
GHA,Ghana,288,2016,15,male,196003.712
GHA,Ghana,288,2016,16,female,273365.28
GHA,Ghana,288,2016,16,male,286319.36
GHA,Ghana,288,2016,17,female,328963.84
GHA,Ghana,288,2016,17,male,344203.68
GHA,Ghana,288,2016,18,female,333808.8
GHA,Ghana,288,2016,18,male,348654.08
GHA,Ghana,288,2016,19,female,305678.368
GHA,Ghana,288,2016,19,male,318299.168
GHA,Ghana,288,2016,20,female,288177.44
GHA,Ghana,288,2016,20,male,301182.464
GHA,Ghana,288,2016,21,female,264699.488
GHA,Ghana,288,2016,21,male,276494.304
GHA,Ghana,288,2016,22,female,246442.368
GHA,Ghana,288,2016,22,male,256671.904
GHA,Ghana,288,2016,23,female,241038.208
GHA,Ghana,288,2016,23,male,249433.504
GHA,Ghana,288,2016,24,female,243402.496
GHA,Ghana,288,2016,24,male,249717.824
GHA,Ghana,288,2016,25,female,240730.816
GHA,Ghana,288,2016,25,male,244767.2
GHA,Ghana,288,2016,26,female,235478.72
GHA,Ghana,288,2016,26,male,237159.392
GHA,Ghana,288,2016,27,female,230641.28
GHA,Ghana,288,2016,27,male,229644.192
GHA,Ghana,288,2016,28,female,226400.48
GHA,Ghana,288,2016,28,male,222329.472
GHA,Ghana,288,2016,29,female,222488.704
GHA,Ghana,288,2016,29,male,215179.744
GHA,Ghana,288,2016,30,female,218497.312
GHA,Ghana,288,2016,30,male,208052.64
GHA,Ghana,288,2016,31,female,214557.184
GHA,Ghana,288,2016,31,male,200977.824
GHA,Ghana,288,2016,32,female,210026.784
GHA,Ghana,288,2016,32,male,194110.144
GHA,Ghana,288,2016,33,female,204560.864
GHA,Ghana,288,2016,33,male,187513.184
GHA,Ghana,288,2016,34,female,198457.856
GHA,Ghana,288,2016,34,male,181146.208
GHA,Ghana,288,2016,35,female,192415.04
GHA,Ghana,288,2016,35,male,174901.76
GHA,Ghana,288,2017,15,female,189860.864
GHA,Ghana,288,2017,15,male,198914.464
GHA,Ghana,288,2017,16,female,277523.68
GHA,Ghana,288,2017,16,male,290592.32
GHA,Ghana,288,2017,17,female,334012
GHA,Ghana,288,2017,17,male,349365.76
GHA,Ghana,288,2017,18,female,339061.92
GHA,Ghana,288,2017,18,male,353920.16
GHA,Ghana,288,2017,19,female,310681.536
GHA,Ghana,288,2017,19,male,323167.296
GHA,Ghana,288,2017,20,female,293499.36
GHA,Ghana,288,2017,20,male,306611.488
GHA,Ghana,288,2017,21,female,270038.016
GHA,Ghana,288,2017,21,male,281960.128
GHA,Ghana,288,2017,22,female,251699.776
GHA,Ghana,288,2017,22,male,262191.328
GHA,Ghana,288,2017,23,female,246125.856
GHA,Ghana,288,2017,23,male,255088.928
GHA,Ghana,288,2017,24,female,248256.992
GHA,Ghana,288,2017,24,male,255548.128
GHA,Ghana,288,2017,25,female,245320.512
GHA,Ghana,288,2017,25,male,250703.2
GHA,Ghana,288,2017,26,female,239784.32
GHA,Ghana,288,2017,26,male,243154.784
GHA,Ghana,288,2017,27,female,234675.04
GHA,Ghana,288,2017,27,male,235669.984
GHA,Ghana,288,2017,28,female,230199.84
GHA,Ghana,288,2017,28,male,228354.944
GHA,Ghana,288,2017,29,female,226100.288
GHA,Ghana,288,2017,29,male,221177.088
GHA,Ghana,288,2017,30,female,221917.184
GHA,Ghana,288,2017,30,male,214002.72
GHA,Ghana,288,2017,31,female,217750.048
GHA,Ghana,288,2017,31,male,206864.608
GHA,Ghana,288,2017,32,female,213226.848
GHA,Ghana,288,2017,32,male,199902.848
GHA,Ghana,288,2017,33,female,208118.208
GHA,Ghana,288,2017,33,male,193176.128
GHA,Ghana,288,2017,34,female,202587.712
GHA,Ghana,288,2017,34,male,186653.696
GHA,Ghana,288,2017,35,female,197087.04
GHA,Ghana,288,2017,35,male,180243.04
GHA,Ghana,288,2018,15,female,192718.016
GHA,Ghana,288,2018,15,male,201825.216
GHA,Ghana,288,2018,16,female,281682.08
GHA,Ghana,288,2018,16,male,294865.28
GHA,Ghana,288,2018,17,female,339060.16
GHA,Ghana,288,2018,17,male,354527.84
GHA,Ghana,288,2018,18,female,344315.04
GHA,Ghana,288,2018,18,male,359186.24
GHA,Ghana,288,2018,19,female,315684.704
GHA,Ghana,288,2018,19,male,328035.424
GHA,Ghana,288,2018,20,female,298821.28
GHA,Ghana,288,2018,20,male,312040.512
GHA,Ghana,288,2018,21,female,275376.544
GHA,Ghana,288,2018,21,male,287425.952
GHA,Ghana,288,2018,22,female,256957.184
GHA,Ghana,288,2018,22,male,267710.752
GHA,Ghana,288,2018,23,female,251213.504
GHA,Ghana,288,2018,23,male,260744.352
GHA,Ghana,288,2018,24,female,253111.488
GHA,Ghana,288,2018,24,male,261378.432
GHA,Ghana,288,2018,25,female,249910.208
GHA,Ghana,288,2018,25,male,256639.2
GHA,Ghana,288,2018,26,female,244089.92
GHA,Ghana,288,2018,26,male,249150.176
GHA,Ghana,288,2018,27,female,238708.8
GHA,Ghana,288,2018,27,male,241695.776
GHA,Ghana,288,2018,28,female,233999.2
GHA,Ghana,288,2018,28,male,234380.416
GHA,Ghana,288,2018,29,female,229711.872
GHA,Ghana,288,2018,29,male,227174.432
GHA,Ghana,288,2018,30,female,225337.056
GHA,Ghana,288,2018,30,male,219952.8
GHA,Ghana,288,2018,31,female,220942.912
GHA,Ghana,288,2018,31,male,212751.392
GHA,Ghana,288,2018,32,female,216426.912
GHA,Ghana,288,2018,32,male,205695.552
GHA,Ghana,288,2018,33,female,211675.552
GHA,Ghana,288,2018,33,male,198839.072
GHA,Ghana,288,2018,34,female,206717.568
GHA,Ghana,288,2018,34,male,192161.184
GHA,Ghana,288,2018,35,female,201759.04
GHA,Ghana,288,2018,35,male,185584.32
GHA,Ghana,288,2019,15,female,195575.168
GHA,Ghana,288,2019,15,male,204735.968
GHA,Ghana,288,2019,16,female,285840.48
GHA,Ghana,288,2019,16,male,299138.24
GHA,Ghana,288,2019,17,female,344108.32
GHA,Ghana,288,2019,17,male,359689.92
GHA,Ghana,288,2019,18,female,349568.16
GHA,Ghana,288,2019,18,male,364452.32
GHA,Ghana,288,2019,19,female,320687.872
GHA,Ghana,288,2019,19,male,332903.552
GHA,Ghana,288,2019,20,female,304143.2
GHA,Ghana,288,2019,20,male,317469.536
GHA,Ghana,288,2019,21,female,280715.072
GHA,Ghana,288,2019,21,male,292891.776
GHA,Ghana,288,2019,22,female,262214.592
GHA,Ghana,288,2019,22,male,273230.176
GHA,Ghana,288,2019,23,female,256301.152
GHA,Ghana,288,2019,23,male,266399.776
GHA,Ghana,288,2019,24,female,257965.984
GHA,Ghana,288,2019,24,male,267208.736
GHA,Ghana,288,2019,25,female,254499.904
GHA,Ghana,288,2019,25,male,262575.2
GHA,Ghana,288,2019,26,female,248395.52
GHA,Ghana,288,2019,26,male,255145.568
GHA,Ghana,288,2019,27,female,242742.56
GHA,Ghana,288,2019,27,male,247721.568
GHA,Ghana,288,2019,28,female,237798.56
GHA,Ghana,288,2019,28,male,240405.888
GHA,Ghana,288,2019,29,female,233323.456
GHA,Ghana,288,2019,29,male,233171.776
GHA,Ghana,288,2019,30,female,228756.928
GHA,Ghana,288,2019,30,male,225902.88
GHA,Ghana,288,2019,31,female,224135.776
