,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
135,Kenya,15-24,male,2020,5505500.0,57.93,3189336.15,12.873,298159.7724105,2018004.0775895002,64483439.90189746,2055944.2283560748,15192942.998393351,220611.96041397372,529869.3848712895,21538047.66382795,33558926.84604449,18118498.97133723,5347123.60070488,1096946.7678991547,1825094.870593577,707439.7217663316,1802079.969566044,6553253.62842996,5866620.236208713,11118885.35368572,2374222.3855315805,0,0,4093959.872755338,0
136,Kenya,15-24,male,2021,5645120.0,58.036,3276201.8432,12.474,295498.850879232,2073419.305920768,62218978.51487073,2189324.524592686,15173399.59903555,238334.1162583632,572434.7462335603,22047563.303030293,34051220.071563,18668742.79215727,5581969.279958301,1130260.1335239715,1732756.5224095355,718531.3207747497,1830333.893947931,6655998.864823422,5702304.818808082,11134942.745070338,2419603.455970988,0,0,4297946.162912966,0
137,Kenya,15-24,male,2022,5784740.0,57.349,3317490.5426,12.37,305198.75788038,2162050.6995196203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
138,Kenya,15-24,male,2023,5924360.0,57.228,3390392.7408,12.417,314642.714574864,2219324.544625136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
139,Kenya,15-24,male,2024,6063980.0,57.193,3468172.0814,12.438,322866.588915468,2272941.329684532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
156,Kenya,25-35,female,2015,4122072.64,14.453,595763.1586592,1.793,63226.729000440544,3463082.7523403596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
157,Kenya,25-35,female,2016,4203120.512,14.283,600331.70272896,1.787,64381.836021673495,3538406.9732493665,138028625.30689597,2333786.0538564655,23447689.36376483,0.0,994075.6472695862,8798260.754975058,88973718.0219475,8549406.868077211,16693155.748927124,560117.9928330583,4003583.188729617,938302.7752087265,1639684.296783118,4447693.9170206105,6871799.402338806,23804266.033151023,7620941.84467392,0,0,18345607.78742116,0
158,Kenya,25-35,female,2017,4284168.384,13.838,592843.2209779199,2.3,84900.47874950783,3606424.684272572,138759721.84616324,2335035.380950129,23552327.29272408,0.0,1000958.4039591954,8861042.779343715,90144713.51525089,8236161.165185662,16926749.233418904,539595.568637489,4081623.1356600528,915436.9012775406,1599726.1772850193,4339306.293027414,6900741.7607056,23993010.96185421,7649379.774097061,0,0,18558804.061443307,0
159,Kenya,25-35,female,2018,4365216.256,13.34,582319.8485504,2.793,105656.29666006734,3677240.110789533,139391015.1597728,2332325.5522405338,23655242.456642646,0.0,1008926.9597451164,8801331.102251919,89608246.17617641,8631893.076522097,16726461.443258148,565522.1115308213,4023539.3761795666,948257.6111861869,1657080.3747449066,4494881.311741935,6993204.599733976,24145473.985263348,7714102.103992781,0,0,18553591.24899979,0
160,Kenya,25-35,female,2019,4446264.1280000005,12.788,568588.25668864,3.322,128816.39244496339,3748859.4788663974,1341638.6015165278,24987.400530738465,230955.35174916696,0.0,11705.423033776828,119630.26401008492,890791.5192217168,89981.28908553607,175966.3425443163,5895.16206361773,43502.14344136335,10004.038745061258,17482.059808506765,47420.62311618924,70652.00004063976,249900.48436128508,77541.59768407494,0,0,184474.94519766563,0
161,Kenya,25-35,female,2020,4527312.0,13.634,617253.71808,3.597,140644.7964006624,3769413.4855193375,132551916.76316042,2423620.2550493376,23578002.53637326,0.0,1151303.3867864453,11943664.634559894,89923064.74002054,8682377.129421916,17172047.636832472,568829.595525519,4373114.336381384,1004160.6354060707,1754770.9213124993,4759869.913859757,7448051.304457999,25850972.11612646,7985682.21055467,0,0,18020574.90334464,0
162,Kenya,25-35,female,2021,4633654.368,12.436,576241.25720448,3.899,158198.5371899173,3899214.5736056026,131894303.79005322,2511099.7223408828,22776636.81044257,0.0,1246855.4585297771,12342974.102252912,90215438.32102759,8979689.580716657,18018777.22022878,588308.1460300338,4309762.61619296,1019626.6645928964,1781797.8105653701,4833181.179425826,6811770.786659184,24626689.144113533,7729414.604166673,0,0,18670740.241131596,0
163,Kenya,25-35,female,2022,4739996.736,11.682,553726.4186995199,3.754,157152.58771146002,4029117.72958902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
164,Kenya,25-35,female,2023,4846339.104,11.607,562514.5798012799,3.727,159658.1400168863,4124166.384181834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
165,Kenya,25-35,female,2024,4952681.472,11.648,576888.33785856,3.7,161904.3459632333,4213888.788178206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
182,Kenya,25-35,male,2015,4085025.92,6.567,268263.6521664,1.354,51678.96110646695,3765083.3067271328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
